name,url,category,description
ASIN,https://en.wikipedia.org/wiki/Amazon_Standard_Identification_Number,List of fictional diseases,"An Amazon Standard Identification Number (ASIN) is a 10-character alphanumeric unique identifier assigned by Amazon.com and its partners for product identification within the Amazon organization.[1] They were designed in 1996 by Rebecca Allen, an Amazon software engineer, when it became clear that Amazon was going to sell products other than just books. The 10-character format of the ASIN was adopted so that Amazon databases and software, which were designed to expect a 10-character International Standard Book Number (ISBN) field, would not have to be changed to accommodate the new identification format.[2]
"
Hypokalemic periodic paralysis type 1,https://en.wikipedia.org/wiki/Hypokalemic_periodic_paralysis_type_1,H,"Hypokalemic periodic paralysis (hypoKPP), also known as familial hypokalemic periodic paralysis (FHPP),[1] is a rare, autosomal dominant channelopathy characterized by muscle weakness or paralysis when there is a fall in potassium levels in the blood (hypokalemia). In individuals with this mutation, attacks sometimes begin in adolescence and most commonly occur with individual triggers such as rest after strenuous exercise (attacks during exercise are rare), high carbohydrate meals, meals with high sodium content, sudden changes in temperature, and even excitement, noise, flashing lights, cold temperatures and stress. Weakness may be mild and limited to certain muscle groups, or more severe full-body paralysis. During an attack, reflexes may be decreased or absent. Attacks may last for a few hours or persist for several days. Recovery is usually sudden when it occurs, due to release of potassium from swollen muscles as they recover. Some patients may fall into an abortive attack or develop chronic muscle weakness later in life.
"
Myxozoa,https://en.wikipedia.org/wiki/Myxozoa,M,"
"
Hypoxanthine guanine phosphoribosyltransferase deficiency,https://en.wikipedia.org/wiki/Hypoxanthine_guanine_phosphoribosyltransferase_deficiency,H,"Lesch–Nyhan syndrome (LNS) is a rare inherited disorder caused by a deficiency of the enzyme hypoxanthine-guanine phosphoribosyltransferase (HGPRT). This deficiency occurs due to mutations in the HPRT1 gene located on the X chromosome. LNS affects about 1 in 380,000 live births.[3] The disorder was first recognized and clinically characterized by American medical student Michael Lesch and his mentor, pediatrician William Nyhan, at Johns Hopkins.[4]
"
Hypoxia,https://en.wikipedia.org/wiki/Hypoxia_(medical),H,"Hypoxia is a condition in which the body or a region of the body is deprived of adequate oxygen supply at the tissue level.[1] Hypoxia may be classified as either generalized, affecting the whole body, or local, affecting a region of the body.[2] Although hypoxia is often a pathological condition, variations in arterial oxygen concentrations can be part of the normal physiology, for example, during strenuous physical exercise.
"
Hypotropia,https://en.wikipedia.org/wiki/Hypotropia,H,"Hypertropia is a condition of misalignment of the eyes (strabismus), whereby the visual axis of one eye is higher than the fellow fixating eye. 
Hypotropia is the similar condition, focus being on the eye with the visual axis lower than the fellow fixating eye. 
Dissociated vertical deviation is a special type of hypertropia leading to slow upward drift of one or rarely both eyes, usually when the patient is inattentive.
"
Ivemark syndrome,https://en.wikipedia.org/wiki/Ivemark_syndrome,I,"Asplenia with cardiovascular anomalies, also known as Ivemark syndrome and right atrial isomerism,[1] is an example of a heterotaxy syndrome. These uncommon congenital disorders are characterized by defects in the heart, spleen and paired organs such as the lungs and kidneys. Another name is ""asplenia-cardiovascular defect-heterotaxy"".[2]
"
Fused mandibular incisors,https://en.wikipedia.org/wiki/Fused_mandibular_incisors,F,"Tooth fusion (also known as syndontia or double teeth) occurs when two separate tooth germs fuse to form one tooth.[1] The fusion may be complete (involves crown and root) or partial (involves only the crown), depending on the stage of tooth development when the teeth started to fuse. Tooth fusion is difficult to distinguish from tooth gemination, thus, both conditions are often referred to together as “double teeth”.[1]
"
Furunculous myiasis,https://en.wikipedia.org/wiki/Furunculous_myiasis,F,"
"
Fumaric aciduria,https://en.wikipedia.org/wiki/Fumaric_aciduria,F,"Fumarase deficiency (or fumaric aciduria) is an exceedingly rare autosomal recessive metabolic disorder in the Krebs cycle, characterized by a deficiency of the enzyme fumarate hydratase, which causes a buildup of fumaric acid in the urine and a deficiency of malate.  Only 13 cases were known worldwide in 1990, after which a cluster of 20 cases were documented in the Short Creek community located in Arizona, US, that has practiced successive endogamy.
"
Fumarase deficiency,https://en.wikipedia.org/wiki/Fumarase_deficiency,F,"Fumarase deficiency (or fumaric aciduria) is an exceedingly rare autosomal recessive metabolic disorder in the Krebs cycle, characterized by a deficiency of the enzyme fumarate hydratase, which causes a buildup of fumaric acid in the urine and a deficiency of malate.  Only 13 cases were known worldwide in 1990, after which a cluster of 20 cases were documented in the Short Creek community located in Arizona, US, that has practiced successive endogamy.
"
Fukuyama-type muscular dystrophy,https://en.wikipedia.org/wiki/Fukuyama-type_muscular_dystrophy,F,"Fukuyama congenital muscular dystrophy (FCMD) is a rare, autosomal recessive form of muscular dystrophy (weakness and breakdown of muscular tissue) mainly described in Japan but also identified in Turkish and Ashkenazi Jewish patients;[5] fifteen cases were first described on 1960 by Dr. Yukio Fukuyama.[6]
"
Fugue state,https://en.wikipedia.org/wiki/Fugue_state,F,"Dissociative fugue (/fjuːɡ/ FYOOG), previously referred to as a fugue state or psychogenic fugue,[1] is a rare psychiatric condition characterized by reversible amnesia regarding one’s identity, often accompanied by unexpected travel or wandering. In some cases, individuals may assume a new identity and be unable to recall personal information from before the onset of symptoms.[2] It is classified as a mental and behavioral disorder[3] and is variously categorized as a dissociative disorder,[1] a conversion disorder,[3] or a somatic symptom disorder. According to the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), dissociative fugue is a subset of dissociative amnesia.
"
Functioning pancreatic endocrine tumor,https://en.wikipedia.org/wiki/Functioning_pancreatic_endocrine_tumor,F,"Neuroendocrine tumors (NETs) are neoplasms that arise from cells of the endocrine (hormonal) and nervous systems. They most commonly occur in the intestine, where they are often called carcinoid tumors, but they are also found in the pancreas, lung, and the rest of the body.
"
Gyrate atrophy,https://en.wikipedia.org/wiki/Gyrate_atrophy,G,"Ornithine aminotransferase deficiency (also known as gyrate atrophy of the choroid and retina) is an inborn error of ornithine metabolism, caused by decreased activity of the enzyme ornithine aminotransferase.  Biochemically, it can be detected by elevated levels of ornithine in the blood.[1]  Clinically, it presents initially with poor night vision, which slowly progresses to total blindness.[2]  It is believed to be inherited in an autosomal recessive manner.  Approximately 200 known cases have been reported in the literature.  The incidence is highest in Finland, estimated at 1:50,000.[2]
"
Gyrate atrophy of the retina,https://en.wikipedia.org/wiki/Gyrate_atrophy_of_the_retina,G,"Ornithine aminotransferase deficiency (also known as gyrate atrophy of the choroid and retina) is an inborn error of ornithine metabolism, caused by decreased activity of the enzyme ornithine aminotransferase.  Biochemically, it can be detected by elevated levels of ornithine in the blood.[1]  Clinically, it presents initially with poor night vision, which slowly progresses to total blindness.[2]  It is believed to be inherited in an autosomal recessive manner.  Approximately 200 known cases have been reported in the literature.  The incidence is highest in Finland, estimated at 1:50,000.[2]
"
Gymnophobia,https://en.wikipedia.org/wiki/Gymnophobia,G,"Gymnophobia is a fear (phobia) of or prejudice against nudity.
"
Gusher syndrome,https://en.wikipedia.org/wiki/Gusher_syndrome,G,"Nonsyndromic deafness is hearing loss that is not associated with other signs and symptoms. In contrast, syndromic deafness involves hearing loss that occurs with abnormalities in other parts of the body. Nonsyndromic deafness constitutes 75% of all hearing loss cases, and an estimated 100 genes are thought to be linked to this condition. About 80% are linked to autosomal recessive inheritance, 15% to autosomal dominant inheritance, 1-3% through the X chromosome, and 0.5-1% are associated with mitochondrial inheritance.[1][2]
"
Gynecomastia,https://en.wikipedia.org/wiki/Gynecomastia,G,"

"
Guizar–Vasquez–Sanchez–Manzano syndrome,https://en.wikipedia.org/wiki/Guizar%E2%80%93Vasquez%E2%80%93Sanchez%E2%80%93Manzano_syndrome,G,"Guizar-Vasquez-Sanchez-Manzano syndrome is an extremely rare genetic and congenital disorder that is characterized by facial dysmorphisms (more specifically, chubby cheeks, mild frontal bossing, a beaked nose with an accompanying low nasal bridge, malar hypoplasia, peculiar philtrums and upper lips), pectus carinatum, and joint hypermobility. Only 2 cases have ever been reported in medical literature, with both of those cases coming from siblings of the same family.[2][3][4]
"
Isotretinoin embryopathy,https://en.wikipedia.org/wiki/Isotretinoin_embryopathy,I,"

"
The Thackery T. Lambshead Pocket Guide to Eccentric & Discredited Diseases,https://en.wikipedia.org/wiki/The_Thackery_T._Lambshead_Pocket_Guide_to_Eccentric_%26_Discredited_Diseases,List of fictional diseases,"
The Thackery T. Lambshead Pocket Guide to Eccentric & Discredited Diseases (2003) is an anthology of fantasy medical conditions edited by Jeff VanderMeer and Mark Roberts, and published by Night Shade Books. A second edition was published by Spectra in 2005.[1]
"
GTP cyclohydrolase deficiency,https://en.wikipedia.org/wiki/GTP_cyclohydrolase_deficiency,G,"Autosomal dominant GTP cyclohydrolase I deficiency (AD-GTPCHD) is a disease caused by dysfunction of GTP cyclohydrolase I, an enzyme that plays an important role in the synthesis of tetrahydrobiopterin, and, as a consequence, of dopamine. This condition is one of the six known causes of tetrahydrobiopterin deficiency[2] and is the most frequently-reported cause of dopa-responsive dystonia.[1]
"
Growth retardation hydrocephaly lung hypoplasia,https://en.wikipedia.org/wiki/Growth_retardation_hydrocephaly_lung_hypoplasia,G,"Growth delay-hydrocephaly-lung hypoplasia syndrome, also known as Game-Friedman-Paradice syndrome is a very rare hereditary disorder which is characterized by developmental, lung, and brain anomalies.[1] Only 4 cases have been reported in medical literature.[2]
"
Guanidinoacetate methyltransferase deficiency,https://en.wikipedia.org/wiki/Guanidinoacetate_methyltransferase_deficiency,G,"Guanidinoacetate methyltransferase deficiency (GAMT deficiency) is an autosomal recessive[1] cerebral creatine deficiency that primarily affects the nervous system and muscles. It is the first described disorder of creatine metabolism,[2] and results from deficient activity of guanidinoacetate methyltransferase, an enzyme involved in the synthesis of creatine.[3]  Clinically, affected individuals most commonly present with developmental delay, behavior disorder, and seizures.[4] Diagnosis can be suspected on clinical findings, and confirmed by specific biochemical tests, brain magnetic resonance spectroscopy, or genetic testing.[5] Biallelic pathogenic variants in the GAMT gene are the underlying cause of the disorder. After GAMT deficiency is diagnosed, it can be treated by dietary adjustments, including supplementation with creatine.[6][7] Treatment is highly effective if started early in life.[8] If treatment is started late, it cannot reverse brain damage which has already taken place.[8] The prevalence of GAMT deficiency is estimated to be 1:250,000.[9]
"
Guillain–Barré syndrome,https://en.wikipedia.org/wiki/Guillain%E2%80%93Barr%C3%A9_syndrome,G,"
"
"Growth delay, constitutional","https://en.wikipedia.org/wiki/Growth_delay,_constitutional",G,"Constitutional delay of growth and puberty (CDGP) is a term describing a temporary delay in the skeletal growth and thus height of a child with no physical abnormalities causing the delay.[1]  Short stature may be the result of a growth pattern inherited from a parent (familial) or occur for no apparent reason (idiopathic).  Typically at some point during childhood, growth slows down, eventually resuming at a normal rate.  CDGP is the most common cause of short stature and delayed puberty.
"
Growth mental deficiency syndrome of Myhre,https://en.wikipedia.org/wiki/Growth_mental_deficiency_syndrome_of_Myhre,G,"Myhre syndrome (MS) is an ultrarare genetic disorder caused by dominant gain-of-function (GOF) mutations in the SMAD4 gene.[3] MS mutations are missense heterozygous mutations affecting only Ile500 or Arg496 residues of the SMAD4 protein.[4] MS patients exhibit manifestations of connective tissue disease including dysfunction of the integumentary, cardiovascular, respiratory, gastrointestinal, and musculoskeletal systems and is often characterized by proliferative systemic fibrosis.[5] Some of these features are life threatening, such as airway or arterial narrowing (laryngotracheal stenosis or aortic coarctation) and fibroproliferation of tissues including lung, heart, and liver.[6] Consistent with these clinical observations, cells isolated from patients with MS demonstrate increased TGF-β signaling.[7]
"
Lysosomal storage disease,https://en.wikipedia.org/wiki/Lysosomal_storage_disease,L,"Lysosomal storage diseases (LSDs; /ˌlaɪsəˈsoʊməl/) are a group of over 70 rare inherited metabolic disorders that result from defects in lysosomal function.[1][2] Lysosomes are sacs of enzymes within cells that digest large molecules and pass the fragments on to other parts of the cell for recycling. This process requires several critical enzymes. If one of these enzymes is defective due to a mutation, the large molecules accumulate within the cell, eventually killing it.[3]
"
Growth hormone deficiency,https://en.wikipedia.org/wiki/Growth_hormone_deficiency,G,"Growth hormone deficiency (GHD), or hyposomatotropism, is a medical condition resulting from not enough growth hormone (GH).[3] Generally the most noticeable symptom is that an individual attains a short height.[1] Newborns may also present low blood sugar or a small penis size.[2] In adults there may be decreased muscle mass, high cholesterol levels, or poor bone density.[1]
"
Grover's disease,https://en.wikipedia.org/wiki/Grover%27s_disease,G,"Grover's disease (GD) is a polymorphic, pruritic, papulovesicular dermatosis characterized histologically by acantholysis[2]: 529  with or without dyskeratosis.[3]  Once confirmed, most cases of Grover's disease last six to twelve months, which is why it was originally called ""transient"". However it may last much longer. Nevertheless, it is not to be confused with relapsing linear acantholytic dermatosis.
"
Greig cephalopolysyndactyly syndrome GCPS,https://en.wikipedia.org/wiki/Greig_cephalopolysyndactyly_syndrome_GCPS,G,"Greig cephalopolysyndactyly syndrome is a disorder that affects development of the limbs, head, and face. The features of this syndrome are highly variable, ranging from very mild to severe. People with this condition typically have one or more extra fingers or toes (polydactyly) or an abnormally wide thumb or big toe (hallux).[1]
"
Growth retardation alopecia pseudoanodontia optic,https://en.wikipedia.org/wiki/Growth_retardation_alopecia_pseudoanodontia_optic,G,"GAPO syndrome is a rare, autosomal recessive disorder that causes severe growth retardation, and has been observed fewer than 30 times before 2011.[1] GAPO is an acronym that encompasses the predominant traits of the disorder: growth retardation, alopecia, pseudoanodontia (teeth failing to emerge from the gums), and worsening optic atrophy in some subjects. Other common symptoms include premature aging, large, prominent foreheads, and delayed bone aging. GAPO syndrome typically results in premature death around age 30–40, due to interstitial fibrosis and atherosclerosis.[2]
"
Griscelli disease,https://en.wikipedia.org/wiki/Griscelli_disease,G,"Chédiak–Higashi syndrome[1] (CHS) is a rare autosomal recessive disorder that arises from a mutation of a lysosomal trafficking regulator protein,[2] which leads to a decrease in phagocytosis. The decrease in phagocytosis results in recurrent pyogenic infections, albinism, and peripheral neuropathy.
"
Great vessels transposition,https://en.wikipedia.org/wiki/Great_vessels_transposition,G,"Transposition of the great vessels (TGV) is a group of congenital heart defects  involving an abnormal spatial arrangement of any of the great vessels: superior and/or inferior venae cavae, pulmonary artery, pulmonary veins, and aorta. Congenital heart diseases involving only the primary arteries (pulmonary artery and aorta) belong to a sub-group called transposition of the great arteries (TGA), which is considered the most common congenital heart lesion that presents in neonates.[2]
"
Gray platelet syndrome,https://en.wikipedia.org/wiki/Gray_platelet_syndrome,G,"Gray platelet syndrome (GPS), or platelet alpha-granule deficiency,[1] is a rare congenital autosomal recessive bleeding disorder caused by a reduction or absence of alpha-granules in blood platelets, and the release of proteins normally contained in these granules into the marrow, causing myelofibrosis.[2] The name derives from the initial observation of gray appearance of platelets with a paucity of granules on blood films from a patient with a lifelong bleeding disorder.[3]
"
Graves' disease,https://en.wikipedia.org/wiki/Graves%27_disease,G,"Graves' disease, also known as toxic diffuse goiter or Basedow’s disease, is an autoimmune disease that affects the thyroid.[1] It frequently results in and is the most common cause of hyperthyroidism.[5] It also often results in an enlarged thyroid.[1] Signs and symptoms of hyperthyroidism may include irritability, muscle weakness, sleeping problems, a fast heartbeat, poor tolerance of heat, diarrhea and unintentional weight loss.[1] Other symptoms may include thickening of the skin on the shins, known as pretibial myxedema, and eye bulging, a condition caused by Graves' ophthalmopathy.[1] About 25 to 30% of people with the condition develop eye problems.[1][4]
"
"Granulomatosis, lymphomatoid","https://en.wikipedia.org/wiki/Granulomatosis,_lymphomatoid",G,"Lymphomatoid granulomatosis (LYG or LG) is a very rare lymphoproliferative disorder first characterized in 1972.[1] Lymphomatoid means lymphoma-like and  granulomatosis denotes the microscopic characteristic of the presence of granulomas with polymorphic lymphoid infiltrates and focal necrosis within it. 
"
Granuloma annulare,https://en.wikipedia.org/wiki/Granuloma_annulare,G,"Granuloma annulare (GA) is a rare,[1] sometimes chronic skin condition which presents as reddish bumps on the skin arranged in a circle or ring.[2] It can initially occur at any age, though two-thirds of patients are under 30 years old, and it is seen most often in children and young adults. Females are two times as likely to have it as males.[3]
"
Systemic sclerosis,https://en.wikipedia.org/wiki/Systemic_sclerosis,S,"Systemic scleroderma, or systemic sclerosis, is an autoimmune rheumatic disease characterised by excessive production and accumulation of collagen, called fibrosis, in the skin and internal organs  and by injuries to small arteries. There are two major subgroups of  systemic sclerosis based on the extent of skin involvement: limited and diffuse. The limited form affects areas below, but not above, the elbows and knees with or without involvement of the face. The diffuse form also affects the skin above the elbows and knees and can also spread to the torso. Visceral organs, including the kidneys, heart, lungs, and gastrointestinal tract can also be affected by the fibrotic process.
Prognosis is determined by the form of the disease and the extent of visceral involvement. Patients with limited systemic sclerosis have a better prognosis than those with the diffuse form. Death is most often caused by lung, heart, and kidney involvement. The risk of cancer is increased slightly.[1]
"
Greenberg dysplasia,https://en.wikipedia.org/wiki/Greenberg_dysplasia,G,"Hydrops-ectopic calcification-moth-eaten skeletal dysplasia is a defect in cholesterol biosynthesis.[4]  Greenberg characterized the condition in 1988.[5]
"
Granulocytopenia,https://en.wikipedia.org/wiki/Granulocytopenia,G,"Granulocytes are cells in the innate immune system characterized by the presence of specific granules in their cytoplasm.[1] Such granules distinguish them from the various agranulocytes. All myeloblastic granulocytes are polymorphonuclear, that is, they have varying shapes (morphology) of the nucleus (segmented, irregular; often lobed into three segments); and are referred to as polymorphonuclear leukocytes (PMN, PML, or PMNL). In common terms, polymorphonuclear granulocyte refers specifically to ""neutrophil granulocytes"",[2] the most abundant of the granulocytes; the other types (eosinophils, basophils, and mast cells) have varying morphology. Granulocytes are produced via granulopoiesis in the bone marrow.
"
Graham–Boyle–Troxell syndrome,https://en.wikipedia.org/wiki/Graham%E2%80%93Boyle%E2%80%93Troxell_syndrome,G,"Graham-Boyle-Troxell syndrome, also known as Cystic hamartoma of the lung and kidney,[1] is an extremely rare congenital malformation which is characterized by benign hamartomatous cysts present in the lung and kidney.[2][3] Symptoms include respiratory insufficiency, recurrent respiratory infections, and hypertension.[4] Additional radiological features include hyperplastic nephromegaly, dysplastic medulla, and mesoblastic nephroma.[5] Only three cases have been described in medical literature.[6]
"
Fitz-Hugh–Curtis syndrome,https://en.wikipedia.org/wiki/Fitz-Hugh%E2%80%93Curtis_syndrome,F,"Fitz-Hugh–Curtis syndrome is a rare complication of pelvic inflammatory disease (PID) involving liver capsule inflammation[1] leading to the formation of adhesions presenting with the clinical syndrome of right upper quadrant (RUQ) pain.
"
Graft versus host disease,https://en.wikipedia.org/wiki/Graft_versus_host_disease,G,"

"
Gorham's disease,https://en.wikipedia.org/wiki/Gorham%27s_disease,G,"Gorham's disease (pronounced GOR-amz), also known as Gorham vanishing bone disease and phantom bone disease,[1] is a very rare skeletal condition of unknown cause.  It is characterized by the uncontrolled proliferation of distended, thin-walled vascular or lymphatic channels within bone, which leads to resorption and replacement of bone with angiomas and/or fibrosis.[2][3]
"
Gorham syndrome,https://en.wikipedia.org/wiki/Gorham_syndrome,G,"Gorham's disease (pronounced GOR-amz), also known as Gorham vanishing bone disease and phantom bone disease,[1] is a very rare skeletal condition of unknown cause.  It is characterized by the uncontrolled proliferation of distended, thin-walled vascular or lymphatic channels within bone, which leads to resorption and replacement of bone with angiomas and/or fibrosis.[2][3]
"
Gottron's syndrome,https://en.wikipedia.org/wiki/Gottron%27s_syndrome,G,"Acrogeria (Gottron's syndrome) is a skin condition characterized by premature aging, typically in the form of unusually fragile, thin skin on the hands and feet (distal extremities).[1]
"
Gougerot–Blum syndrome,https://en.wikipedia.org/wiki/Gougerot%E2%80%93Blum_syndrome,G,"Gougerot–Blum syndrome  is a variant of pigmented purpuric dermatitis, a skin condition characterized by minute, rust-colored to violaceous, lichenoid papules that tend to fuse into plaques of various hues.[2]: 829   Relative to other variants, it is characterized clinically by a male predominance, pruritus, with a predilection for the legs, and histologically, it features a densely cellular lichenoid infiltrate.[3]
"
Granulomatous allergic angiitis,https://en.wikipedia.org/wiki/Granulomatous_allergic_angiitis,G,"
"
Goodpasture's syndrome,https://en.wikipedia.org/wiki/Goodpasture%27s_syndrome,G,"Goodpasture syndrome (GPS), also known as anti–glomerular basement membrane disease,  is a rare autoimmune disease in which antibodies attack the basement membrane in lungs and kidneys, leading to bleeding from the lungs, glomerulonephritis,[1] and kidney failure.[2] It is thought to attack the alpha-3 subunit of type IV collagen, which has therefore been referred to as Goodpasture's antigen.[3] Goodpasture syndrome may quickly result in permanent lung and kidney damage, often leading to death. It is treated with medications that suppress the immune system such as corticosteroids and cyclophosphamide, and with plasmapheresis, in which the antibodies are removed from the blood. Due to the GPS's rapid progression, the significant difficulty of treating the disease is identifying it early and making the appropriate response before severe damage occurs to the kidneys and or lungs. Consequently, the standard treatment plan of corticosteroids, cyclophosphamide, and plasmapheresis is vigorous and fast-acting, including high plasma volume exchange and an intensive dose of corticosteroid and cyclophosphamide based on the patient's body weight in kilograms. [4]
"
Goodpasture pneumorenal syndrome,https://en.wikipedia.org/wiki/Goodpasture_pneumorenal_syndrome,G,"Goodpasture syndrome (GPS), also known as anti–glomerular basement membrane disease,  is a rare autoimmune disease in which antibodies attack the basement membrane in lungs and kidneys, leading to bleeding from the lungs, glomerulonephritis,[1] and kidney failure.[2] It is thought to attack the alpha-3 subunit of type IV collagen, which has therefore been referred to as Goodpasture's antigen.[3] Goodpasture syndrome may quickly result in permanent lung and kidney damage, often leading to death. It is treated with medications that suppress the immune system such as corticosteroids and cyclophosphamide, and with plasmapheresis, in which the antibodies are removed from the blood. Due to the GPS's rapid progression, the significant difficulty of treating the disease is identifying it early and making the appropriate response before severe damage occurs to the kidneys and or lungs. Consequently, the standard treatment plan of corticosteroids, cyclophosphamide, and plasmapheresis is vigorous and fast-acting, including high plasma volume exchange and an intensive dose of corticosteroid and cyclophosphamide based on the patient's body weight in kilograms. [4]
"
Gordon hyperkaliemia-hypertension syndrome,https://en.wikipedia.org/wiki/Gordon_hyperkaliemia-hypertension_syndrome,G,"
Pseudohypoaldosteronism (PHA) is a condition that mimics hypoaldosteronism (presenting hyperkalemia).[1]  Two major types of primary pseudohypoaldosteronism are recognized and these have major differences in etiology and presentation.[2]
"
Gordon syndrome,https://en.wikipedia.org/wiki/Gordon_Syndrome,G,"Arthrogryposis (AMC) describes congenital joint contracture in two or more areas of the body. It derives its name from Greek, literally meaning 'curving of joints' (arthron, 'joint'; grȳpōsis, late Latin form of late Greek grūpōsis, 'hooking').[1]
"
Gonadal dysgenesis,https://en.wikipedia.org/wiki/Gonadal_dysgenesis,G,"
"
Gonadal dysgenesis mixed,https://en.wikipedia.org/wiki/Gonadal_dysgenesis_mixed,G,"45,X/46,XY mosaicism, also known as X0/XY mosaicism and mixed gonadal dysgenesis,[1] is a mutation of sex development in humans associated with sex chromosome aneuploidy and mosaicism of the Y chromosome. It is a fairly rare chromosomal disorder at birth, with an estimated incidence rate of about 1 in 15,000 live births.[2]  Mosaic loss of the Y chromosome in previously non-mosaic men grows increasingly common with age.[3]
"
Gonococcal conjunctivitis,https://en.wikipedia.org/wiki/Gonococcal_conjunctivitis,G,"


"
Gomez and López-Hernández syndrome,https://en.wikipedia.org/wiki/Gomez_and_L%C3%B3pez-Hern%C3%A1ndez_syndrome,G,"Gómez–López-Hernández syndrome (GLH) or cerebellotrigeminal-dermal dysplasia is a rare neurocutaneous (Phakomatosis) disorder affecting the trigeminal nerve and causing several other neural and physical abnormalities.[1] Gómez–López-Hernández syndrome has been diagnosed in only 34 people.[2] Cases of Gómez–López-Hernández syndrome may be under-reported as other diseases share the characteristics of cerebellar malformation shown in Gómez–López-Hernández syndrome.[1][2] Gómez–López-Hernández syndrome was first characterized in 1979.[3]
"
